supply;supply_human;new_debt;new_debt_human;new_reserves;new_reserves_human;future_rate;future_rate_human;utilisation
100000000000000000000000;100000.0;0;0.0;100000000000000000000000;100000.0;4999999971024000;0.004999999971024;0.0
100000000000000000000000;100000.0;1000000000000000000000;1000.0;100000000000000000000000;100000.0;5002303076640000;0.00500230307664;0.01
100000000000000000000000;100000.0;2000000000000000000000;2000.0;100000000000000000000000;100000.0;5009218795296000;0.005009218795296;0.02
100000000000000000000000;100000.0;3000000000000000000000;3000.0;100000000000000000000000;100000.0;5020766237808000;0.005020766237808;0.03
100000000000000000000000;100000.0;4000000000000000000000;4000.0;100000000000000000000000;100000.0;5036977381680000;0.00503697738168;0.04
100000000000000000000000;100000.0;5000000000000000000000;5000.0;100000000000000000000000;100000.0;5057897228784000;0.005057897228784;0.05
100000000000000000000000;100000.0;6000000000000000000000;6000.0;100000000000000000000000;100000.0;5083583963040000;0.00508358396304;0.06
100000000000000000000000;100000.0;7000000000000000000000;7000.0;100000000000000000000000;100000.0;5114109234240000;0.00511410923424;0.07
100000000000000000000000;100000.0;8000000000000000000000;8000.0;100000000000000000000000;100000.0;5149558536480000;0.00514955853648;0.08
100000000000000000000000;100000.0;9000000000000000000000;9000.0;100000000000000000000000;100000.0;5190031586592000;0.005190031586592;0.09
100000000000000000000000;100000.0;10000000000000000000000;10000.0;100000000000000000000000;100000.0;5235642702576000;0.005235642702576;0.1
100000000000000000000000;100000.0;11000000000000000000000;11000.0;100000000000000000000000;100000.0;5286521465856000;0.005286521465856;0.11
100000000000000000000000;100000.0;12000000000000000000000;12000.0;100000000000000000000000;100000.0;5342813320464000;0.005342813320464;0.12
100000000000000000000000;100000.0;13000000000000000000000;13000.0;100000000000000000000000;100000.0;5404680203760000;0.00540468020376;0.13
100000000000000000000000;100000.0;14000000000000000000000;14000.0;100000000000000000000000;100000.0;5472301303296000;0.005472301303296;0.14
100000000000000000000000;100000.0;15000000000000000000000;15000.0;100000000000000000000000;100000.0;5545874034432000;0.005545874034432;0.15
100000000000000000000000;100000.0;16000000000000000000000;16000.0;100000000000000000000000;100000.0;5625614923344000;0.005625614923344;0.16
100000000000000000000000;100000.0;17000000000000000000000;17000.0;100000000000000000000000;100000.0;5711760647712000;0.005711760647712;0.17
100000000000000000000000;100000.0;18000000000000000000000;18000.0;100000000000000000000000;100000.0;5804569298160000;0.00580456929816;0.18
100000000000000000000000;100000.0;19000000000000000000000;19000.0;100000000000000000000000;100000.0;5904321545088000;0.005904321545088;0.19
100000000000000000000000;100000.0;20000000000000000000000;20000.0;100000000000000000000000;100000.0;6011322120864000;0.006011322120864;0.2
